section,error_type,count,index,Predicted Normal,Predicted Toxic,text,true_label,prediction,Normal_probability,Toxic_probability,max_probability,correct
error_summary,False Positive,17.0,,,,,,,,,,
error_summary,False Negative,17.0,,,,,,,,,,
confusion_matrix,,,Actual Normal,105.0,17.0,,,,,,,
confusion_matrix,,,Actual Toxic,17.0,105.0,,,,,,,
prediction_probability,,,,,,ไม่เป็นไรจริง ๆ แพ้ไฟต์เดียวไม่จบเกม,Normal,Toxic,0.38461538461538464,0.6153846153846154,0.6153846153846154,False
prediction_probability,,,,,,กูจะเปิดทางให้เดินออก,Normal,Normal,1.0,0.0,1.0,True
prediction_probability,,,,,,ไม่เป็นไร รอบหน้าเอาใหม่,Normal,Normal,1.0,0.0,1.0,True
prediction_probability,,,,,,ไอ้ทางเข้าป่ามี trap อยู่,Normal,Normal,0.9230769230769231,0.07692307692307693,0.9230769230769231,True
prediction_probability,,,,,,ขอบคุณที่รอทีมก่อนเข้าไฟต์,Normal,Normal,0.8461538461538461,0.15384615384615385,0.8461538461538461,True
prediction_probability,,,,,,ขอบคุณที่ทำให้ศัตรูมั่นใจขึ้น,Toxic,Normal,0.6153846153846154,0.38461538461538464,0.6153846153846154,False
prediction_probability,,,,,,เล่นเหมือนตั้งใจให้แพ้,Toxic,Toxic,0.0,1.0,1.0,True
prediction_probability,,,,,,ช่วยทีมไม่ได้ก็อย่าทำให้แย่ลง,Toxic,Toxic,0.15384615384615385,0.8461538461538461,0.8461538461538461,True
prediction_probability,,,,,,ไม่ต้องแก้ตัว ฝีมือมันฟ้องอยู่แล้ว,Toxic,Normal,0.5384615384615384,0.46153846153846156,0.5384615384615384,False
prediction_probability,,,,,,คุมพื้นที่ตรงนี้ไว้ก่อน,Normal,Normal,1.0,0.0,1.0,True
prediction_probability,,,,,,เหมือนไม่ได้คิดก่อนกดสกิลเลย,Toxic,Toxic,0.38461538461538464,0.6153846153846154,0.6153846153846154,True
prediction_probability,,,,,,กดอะไรก็พลาดไปหมด น่าทึ่งจริง,Toxic,Toxic,0.07692307692307693,0.9230769230769231,0.9230769230769231,True
prediction_probability,,,,,,ไม่ต้องรีบ เรารอสวนดีกว่า,Normal,Normal,1.0,0.0,1.0,True
prediction_probability,,,,,,ระวังตรง river เขาน่าจะมี vision,Normal,Normal,0.8461538461538461,0.15384615384615385,0.8461538461538461,True
prediction_probability,,,,,,ไอ้ objective นี้ปล่อยได้ ถ้าเสี่ยงเกินไป,Normal,Normal,1.0,0.0,1.0,True
prediction_probability,,,,,,แบกทีมฝั่งตรงข้ามสุด ๆ,Toxic,Toxic,0.07692307692307693,0.9230769230769231,0.9230769230769231,True
prediction_probability,,,,,,ค่อย ๆ เล่นไป เกมยังไม่จบ,Normal,Toxic,0.46153846153846156,0.5384615384615384,0.5384615384615384,False
prediction_probability,,,,,,เล่นแบบนี้ทีมเหนื่อยทุกไฟต์,Toxic,Toxic,0.0,1.0,1.0,True
prediction_probability,,,,,,ไอ้ภาระทีม,Toxic,Toxic,0.07692307692307693,0.9230769230769231,0.9230769230769231,True
prediction_probability,,,,,,มึงทำให้คำว่า teamwork ดูเศร้า,Toxic,Toxic,0.0,1.0,1.0,True
prediction_probability,,,,,,ปัญญาอ่อนปะ จังหวะนั้นยังเข้าอีก,Toxic,Normal,1.0,0.0,1.0,False
prediction_probability,,,,,,จังหวะนั้นคือผลงานระดับตำนานจริง ๆ ตำนานทีมพัง,Toxic,Toxic,0.0,1.0,1.0,True
prediction_probability,,,,,,ดีมากที่ไม่ฝืนเข้าไฟต์นั้น,Normal,Toxic,0.46153846153846156,0.5384615384615384,0.5384615384615384,False
prediction_probability,,,,,,ขอบคุณที่ช่วยอีกฝั่งนะ เล่นแบบนี้เขาคงยิ้มเลย,Toxic,Normal,0.6923076923076923,0.3076923076923077,0.6923076923076923,False
prediction_probability,,,,,,จะเข้าก็พัง จะถอยก็ช้า,Toxic,Normal,1.0,0.0,1.0,False
prediction_probability,,,,,,มึงถอยมาหลังป้อมก่อน,Normal,Normal,1.0,0.0,1.0,True
prediction_probability,,,,,,กูเหนื่อยกับคนเล่นแบบมึงจริง ๆ,Toxic,Toxic,0.0,1.0,1.0,True
prediction_probability,,,,,,ถ้าทีมแพ้ก็ไม่ต้องสงสัยสาเหตุ,Toxic,Toxic,0.07692307692307693,0.9230769230769231,0.9230769230769231,True
prediction_probability,,,,,,ลองรวมกันดันกลางดูไหม,Normal,Normal,0.8461538461538461,0.15384615384615385,0.8461538461538461,True
prediction_probability,,,,,,ขอบคุณที่พิสูจน์ว่าทีมเราเล่นสี่คนก็จริง,Toxic,Toxic,0.38461538461538464,0.6153846153846154,0.6153846153846154,True
prediction_probability,,,,,,กูจะกลับบ้านซื้อของก่อน,Normal,Normal,1.0,0.0,1.0,True
prediction_probability,,,,,,เราเสียป้อมได้ แต่อย่าเสียคนเพิ่ม,Normal,Toxic,0.3076923076923077,0.6923076923076923,0.6923076923076923,False
prediction_probability,,,,,,ช่วยทีมด้วยการหยุดแจกก่อน,Toxic,Toxic,0.0,1.0,1.0,True
prediction_probability,,,,,,ช่วยดันเลนล่างหน่อย เดี๋ยวกูดันบน,Normal,Normal,1.0,0.0,1.0,True
prediction_probability,,,,,,ตำแหน่งนี้ไม่เหมาะกับคนเล่นแบบนี้,Toxic,Toxic,0.0,1.0,1.0,True
prediction_probability,,,,,,มึงอย่าแยกไกล เดี๋ยวโดนจับ,Normal,Toxic,0.23076923076923078,0.7692307692307693,0.7692307692307693,False
prediction_probability,,,,,,มึงฟาร์มต่อก่อน เดี๋ยวทีมกันบ้านให้,Normal,Normal,1.0,0.0,1.0,True
